Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,820,820,12.181,1.1491,1.1491,10000,10431,10943,11391,10431,10943,11391
2,868,843,23.704,1.1452,1.14715,20000,10367,10943,11391,10303,10943,11391
3,861,849,35.31,1.1559,1.1500666666666666,30000,10367,10943,11391,10431,11007,11455
4,856,851,46.989,1.1622,1.1531,40000,10431,11007,11455,10495,11071,11519
5,865,854,58.542,1.1508,1.15264,50000,10431,11007,11455,10431,11007,11455
6,852,853,70.268,1.1677,1.15515,60000,10431,11007,11455,10495,11135,11583
7,847,852,82.066,1.1761,1.1581428571428571,70000,10431,11007,11519,10623,11199,11647
8,863,854,93.65,1.1549,1.1577375,80000,10431,11007,11519,10431,11007,11455
9,857,854,105.317,1.1631,1.1583333333333334,90000,10431,11007,11519,10495,11071,11519
10,848,853,117.108,1.1746,1.15996,100000,10495,11071,11519,10623,11199,11647
11,856,854,128.779,1.1615,1.1601,110000,10495,11071,11519,10495,11071,11519
